url_id,url,positive_score,negative_score,polarity_score,subjectivity_score,avg_sentence_length,percentage_complex_words,fog_index,avg_words_per_sentence,complex_word_count,syllable_per_word,personal_pronouns,average_word_length
url104,https://www.cnn.com/2024/07/22/americas/sable-island-shipwreck-scli-intl/index.html,7,10,-0.17647057785467188,0.06882591065252668,247.0,0.9919028340080972,99.19676113360325,247.0,245,6.327935222672065,6,6.327935222672065
url105,https://www.cnn.com/2024/07/21/americas/venezuela-presidential-election-explainer-intl-latam/index.html,23,52,-0.3866666615111112,0.10316368624049012,727.0,0.9958734525447043,291.1983493810179,727.0,724,7.1182943603851445,6,7.1182943603851445
url106,https://www.cnn.com/2024/07/25/asia/philippines-flooding-manila-climate-typhoon-gaemi-intl-hnk/index.html,13,44,-0.5438596395814098,0.06745562122194601,845.0,0.991715976331361,338.3966863905325,845.0,838,6.582248520710059,6,6.582248520710059
url107,https://www.cnn.com/2024/07/25/asia/philippines-flooding-manila-climate-typhoon-gaemi-intl-hnk/index.html,13,44,-0.5438596395814098,0.06745562122194601,845.0,0.991715976331361,338.3966863905325,845.0,838,6.582248520710059,6,6.582248520710059
url108,https://www.cnn.com/2024/07/24/asia/nepal-saurya-airline-plane-crash-intl-hnk/index.html,2,19,-0.8095237709750585,0.10714285659620992,196.0,0.9948979591836735,78.79795918367347,196.0,195,6.627551020408164,1,6.627551020408164
url109,https://www.cnn.com/2024/07/24/asia/north-korea-trash-balloons-presidential-compound-intl-hnk/index.html,5,37,-0.7619047437641728,0.1079691513933955,389.0,0.9948586118251928,155.99794344473008,389.0,387,6.5244215938303345,7,6.5244215938303345
url110,https://www.cnn.com/2024/07/24/asia/reality-show-protected-bird-new-zealand-intl-hnk/index.html,13,25,-0.31578946537396146,0.12063492025195263,315.0,1.0,126.4,315.0,315,6.647619047619048,1,6.647619047619048
url111,https://www.cnn.com/2024/07/25/style/taylor-swift-the-man-music-video/index.html,106,27,0.5939849579399628,0.1464757707637932,908.0,0.998898678414097,363.59955947136564,908.0,907,5.990088105726873,7,5.990088105726873
url112,https://www.cnn.com/2024/07/25/style/taylor-swift-the-man-music-video/index.html,106,27,0.5939849579399628,0.1464757707637932,908.0,0.998898678414097,363.59955947136564,908.0,907,5.990088105726873,7,5.990088105726873
url113,https://www.cnn.com/2024/07/25/style/puerto-rico-hair-discrimination/index.html,11,14,-0.11999999520000018,0.09328358174147917,268.0,0.996268656716418,107.59850746268658,268.0,267,6.638059701492537,2,6.638059701492537
url114,https://www.cnn.com/2024/07/24/style/art-of-climbing-simon-carter-intl-hnk/index.html,23,14,0.24324323666910172,0.09068627428753365,408.0,0.9950980392156863,163.5980392156863,408.0,406,6.700980392156863,9,6.700980392156863
url115,https://www.cnn.com/2024/07/24/style/underwater-roman-mosaic-scli-intl/index.html,8,6,0.14285713265306196,0.05957446783159801,235.0,0.9957446808510638,94.39829787234044,235.0,234,6.438297872340425,0,6.438297872340425
url116,https://www.cnn.com/2024/07/24/style/gigi-hadid-midriff-top-lotw/index.html,29,14,0.3488372011898325,0.12609970637507417,341.0,0.9941348973607038,136.7976539589443,341.0,339,6.205278592375366,0,6.205278592375366
url117,https://www.cnn.com/2024/07/26/weather/atlantic-hurricane-forecast-climate/index.html,6,16,-0.4545454338842984,0.07719298218528778,285.0,1.0,114.4,285.0,285,6.607017543859649,0,6.607017543859649
url118,https://www.cnn.com/2024/07/26/weather/atlantic-hurricane-forecast-climate/index.html,6,16,-0.4545454338842984,0.07719298218528778,285.0,1.0,114.4,285.0,285,6.607017543859649,0,6.607017543859649
url119,https://www.cnn.com/2024/07/25/weather/jasper-national-park-canada-wildfire/index.html,19,21,-0.04999999875000003,0.0961538459227071,416.0,0.9951923076923077,166.79807692307693,416.0,414,6.608173076923077,14,6.608173076923077
url120,https://www.cnn.com/2024/07/23/weather/canada-fire-jasper-national-park/index.html,9,20,-0.37931033174791956,0.07055961053391822,411.0,0.9951338199513382,164.79805352798053,411.0,409,6.678832116788321,2,6.678832116788321
url125,https://www.cnn.com/2024/07/24/europe/yulia-alyoshina-russian-transgender-politician-fear-intl/index.html,16,25,-0.21951218976799539,0.09512760998810299,431.0,1.0,172.8,431.0,431,7.034802784222737,18,7.034802784222737
url126,https://www.cnn.com/2024/07/24/europe/yulia-alyoshina-russian-transgender-politician-fear-intl/index.html,16,25,-0.21951218976799539,0.09512760998810299,431.0,1.0,172.8,431.0,431,7.034802784222737,18,7.034802784222737
url135,https://www.cnn.com/2024/07/24/europe/russia-moscow-troops-signing-bonus-intl-hnk/index.html,7,21,-0.49999998214285774,0.10035842257936049,279.0,0.996415770609319,111.99856630824372,279.0,278,6.78494623655914,1,6.78494623655914
